state,district,latitude,longitude,water_bodies_count,coastal_exposure,pre_monsoon_water_table_m_bgl,post_monsoon_water_table_m_bgl,seasonal_rise_m,monsoon_rainfall_mm,river_proximity_km,urban_drainage_stress,wetland_buffer_index,rainfall_scenario,flood_risk_score,state_dummy,latitude_dummy,longitude_dummy,coastal_exposure_dummy,pre_monsoon_water_table_m_bgl_dummy,post_monsoon_water_table_m_bgl_dummy,seasonal_rise_m_dummy,monsoon_rainfall_mm_dummy,river_proximity_km_dummy,urban_drainage_stress_dummy,wetland_buffer_index_dummy
Odisha,Balangir,20.66238,83.57019,86472,0,4.25,1.88,2.37,120.0,10.59,0.552,0.687,normal,34.78,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.66913,83.50878,101368,0,2.96,2.3,0.6600000000000001,120.0,15.99,0.318,0.738,normal,26.45,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.73252,83.45887,99668,0,8.25,7.72,0.5300000000000002,120.0,5.08,0.405,0.177,normal,27.51,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.82896,83.4993,89268,0,7.59,7.03,0.5599999999999996,120.0,7.26,0.432,0.437,normal,30.75,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.72053,83.44247,77272,0,3.24,2.58,0.6600000000000001,120.0,6.02,0.416,0.506,normal,26.88,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.87398,83.61871,84047,0,1.92,0.2,1.72,120.0,8.54,0.326,0.567,normal,30.64,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.55848,83.77601,99133,0,3.98,1.76,2.2199999999999998,120.0,4.88,0.519,0.85,normal,35.52,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.66915,83.63581,91144,0,6.4,5.15,1.25,120.0,5.83,0.305,0.411,normal,32.85,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.84578,83.48094,82436,0,1.65,0.3,1.3499999999999999,120.0,1.77,0.409,0.779,normal,29.66,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.62918,83.29979,93706,0,1.91,1.18,0.73,120.0,11.14,0.353,0.657,normal,29.26,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.69359,83.49937,107287,0,3.09,0.78,2.3099999999999996,120.0,10.32,0.68,0.242,normal,44.55,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.69125,83.54905,91174,0,2.99,0.2,2.79,120.0,13.86,0.392,0.238,normal,37.1,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.64311,83.43953,93609,0,2.9,2.18,0.7199999999999998,120.0,14.14,0.426,0.381,normal,27.45,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.47419,83.50459,104812,0,8.11,7.01,1.0999999999999996,120.0,5.91,0.807,0.766,normal,36.97,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.70269,83.39893,79204,0,5.4,4.66,0.7400000000000002,120.0,9.89,0.441,0.207,normal,29.88,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.78173,83.65976,86677,0,2.26,0.5,1.7599999999999998,120.0,13.76,0.894,0.577,normal,33.95,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.4932,83.39277,98600,0,1.96,1.17,0.79,120.0,12.13,0.256,0.62,normal,29.51,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.6064,83.46332,86993,0,4.64,3.58,1.0599999999999996,120.0,9.89,0.508,0.732,normal,30.18,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balangir,20.69631,83.5799,96620,0,3.82,3.25,0.5699999999999998,120.0,5.38,0.231,0.576,normal,32.98,Odisha,20.71,83.49,0,7.03,4.65,2.39,1091.5,7.32,0.503,0.852
Odisha,Balasore,21.62962,87.16297,94695,1,1.19,0.2,0.99,120.0,2.35,0.547,0.848,normal,45.23,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.66042,86.79001,107046,1,7.07,5.52,1.5500000000000007,120.0,12.34,0.463,0.782,normal,47.72,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.40353,86.96063,105832,1,1.82,0.2,1.62,120.0,7.98,0.682,0.711,normal,47.68,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.44594,86.69577,106131,1,4.24,1.89,2.3500000000000005,120.0,8.2,0.62,0.772,normal,49.83,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.4754,87.07887,108139,1,7.54,6.55,0.9900000000000002,120.0,12.91,0.256,0.409,normal,42.33,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.52337,86.96898,110349,1,4.9,3.45,1.4500000000000002,120.0,13.35,0.225,0.702,normal,46.28,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.56625,86.96622,110947,1,6.34,3.03,3.31,120.0,11.56,0.565,0.563,normal,51.53,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.61276,86.74374,93331,1,7.52,5.89,1.63,120.0,13.11,0.893,0.545,normal,47.81,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.4266,86.89145,89660,1,4.23,2.87,1.3600000000000003,120.0,8.66,0.34,0.203,normal,39.79,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.58223,87.06328,108628,1,5.24,3.58,1.6600000000000001,120.0,6.2,0.847,0.692,normal,48.13,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.49712,86.75168,103740,1,5.79,4.6,1.1900000000000004,120.0,1.96,0.435,0.724,normal,46.44,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.54144,86.91026,120119,1,7.53,5.16,2.37,120.0,11.8,0.35,0.333,normal,51.9,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.2755,86.9117,105309,1,4.95,3.28,1.6700000000000004,120.0,15.42,0.391,0.716,normal,46.41,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.26084,86.77688,110295,1,4.87,3.65,1.2200000000000002,120.0,4.12,0.759,0.521,normal,46.9,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.43738,86.86071,107911,1,3.71,0.76,2.95,120.0,8.73,0.656,0.439,normal,51.04,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.52846,86.9578,116403,1,5.97,4.67,1.2999999999999998,120.0,7.44,0.37,0.533,normal,45.63,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.49408,86.82536,100620,1,7.18,3.96,3.2199999999999998,120.0,13.68,0.319,0.488,normal,52.5,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.59094,86.91682,97089,1,2.4,1.54,0.8599999999999999,120.0,5.57,0.485,0.41,normal,40.34,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.41879,87.10529,106779,1,4.21,1.74,2.4699999999999998,120.0,4.15,0.746,0.343,normal,51.93,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.41192,87.02346,84807,1,4.17,2.65,1.52,120.0,8.59,0.573,0.223,normal,45.91,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.55229,86.78295,101954,1,2.5,0.76,1.74,120.0,6.63,0.558,0.864,normal,47.14,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Balasore,21.55429,86.98348,88758,1,5.65,2.54,3.1100000000000003,120.0,3.01,0.352,0.729,normal,50.09,Odisha,21.49,86.93,1,5.56,2.74,2.82,1545.8,3.49,0.634,0.17
Odisha,Bargarh,21.34989,83.66997,85329,0,5.55,4.34,1.21,120.0,15.87,0.649,0.368,normal,32.63,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.35089,83.47998,94065,0,6.98,5.83,1.1500000000000004,120.0,8.59,0.321,0.634,normal,32.92,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.11002,83.85948,104633,0,7.6,6.46,1.1399999999999997,120.0,0.99,0.74,0.554,normal,37.61,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.38159,83.2727,103535,0,2.13,1.29,0.8399999999999999,120.0,0.86,0.754,0.691,normal,34.02,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.5021,83.74925,105669,0,2.88,1.44,1.44,120.0,6.93,0.781,0.441,normal,40.05,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.24179,83.49406,77353,0,1.83,0.2,1.6300000000000001,120.0,6.02,0.458,0.286,normal,30.01,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.29625,83.58987,85800,0,2.05,0.2,1.8499999999999999,120.0,15.44,0.642,0.793,normal,33.9,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.41989,83.46602,83207,0,5.3,3.45,1.8499999999999996,120.0,2.27,0.678,0.595,normal,29.2,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.04599,83.39509,77267,0,7.37,4.78,2.59,120.0,0.2,0.575,0.323,normal,46.17,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.47897,83.766,84089,0,3.42,1.16,2.26,120.0,1.21,0.743,0.746,normal,38.25,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.38767,83.52359,100352,0,2.03,0.85,1.1799999999999997,120.0,7.78,0.626,0.695,normal,34.97,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.28453,83.53563,88196,0,2.23,1.37,0.8599999999999999,120.0,10.89,0.642,0.316,normal,29.5,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.35026,83.64132,92524,0,3.24,1.71,1.5300000000000002,120.0,5.05,0.846,0.134,normal,35.82,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.32987,83.60108,93033,0,8.79,7.53,1.259999999999999,120.0,14.33,0.474,0.161,normal,31.09,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.43909,83.72097,85472,0,3.16,2.17,0.9900000000000002,120.0,13.5,0.633,0.554,normal,35.18,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.25619,83.5378,92775,0,5.32,3.67,1.6500000000000004,120.0,6.75,0.28,0.785,normal,33.0,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.30902,83.92355,85479,0,5.72,4.3,1.42,120.0,15.07,0.628,0.567,normal,34.34,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.28854,83.47545,90220,0,6.34,4.16,2.1799999999999997,120.0,2.84,0.463,0.74,normal,34.97,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.28321,83.62823,95067,0,2.58,0.2,2.38,120.0,10.92,0.363,0.329,normal,39.07,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.31259,83.75694,87563,0,4.18,2.52,1.6599999999999997,120.0,3.5,0.644,0.66,normal,31.52,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.33158,83.61632,80959,0,7.53,6.19,1.3399999999999999,120.0,14.42,0.441,0.736,normal,29.69,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bargarh,21.20493,83.66528,88168,0,7.34,4.49,2.8499999999999996,120.0,7.92,0.784,0.807,normal,41.91,Odisha,21.33,83.62,0,7.52,5.51,2.02,1639.5,5.8,0.929,0.826
Odisha,Bhadrak,20.8987,86.45908,110129,1,4.37,3.16,1.21,120.0,4.26,0.84,0.155,normal,50.15,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,20.93725,86.46758,86492,1,4.2,2.38,1.8200000000000003,120.0,11.2,0.685,0.786,normal,45.39,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.21899,86.46262,90193,1,1.88,0.2,1.68,120.0,6.81,0.325,0.721,normal,40.59,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.14855,86.37246,99403,1,5.65,3.35,2.3000000000000003,120.0,13.24,0.79,0.331,normal,49.04,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.1835,86.52787,92407,1,4.55,1.65,2.9,120.0,1.54,0.415,0.829,normal,50.27,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.2972,86.70054,89604,1,6.94,5.25,1.6900000000000004,120.0,12.38,0.462,0.225,normal,46.08,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.01947,86.53058,104461,1,1.87,0.44,1.4300000000000002,120.0,14.09,0.824,0.298,normal,45.57,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.1141,86.38127,107826,1,2.04,0.2,1.84,120.0,0.82,0.569,0.299,normal,51.42,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,20.91893,86.677,95923,1,7.97,6.21,1.7599999999999998,120.0,4.54,0.888,0.463,normal,45.41,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.14966,86.67628,89330,1,5.26,3.81,1.4499999999999997,120.0,12.53,0.523,0.17,normal,42.83,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.16477,86.3979,89453,1,1.48,0.2,1.28,120.0,8.81,0.754,0.155,normal,47.84,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.18493,86.2076,94196,1,6.5,3.26,3.24,120.0,2.21,0.545,0.515,normal,52.66,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,20.96435,86.46695,76084,1,4.19,1.39,2.8000000000000007,120.0,11.6,0.861,0.476,normal,47.82,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.12878,86.35222,108683,1,7.51,5.08,2.4299999999999997,120.0,11.48,0.449,0.474,normal,51.03,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.07372,86.71524,105224,1,5.17,3.49,1.6799999999999997,120.0,2.19,0.302,0.468,normal,46.71,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.09653,86.47297,104404,1,1.87,0.26,1.61,120.0,14.45,0.573,0.648,normal,47.48,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,20.85259,86.51849,84712,1,4.83,3.3,1.5300000000000002,120.0,10.94,0.599,0.278,normal,41.35,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,20.85012,86.44101,106705,1,6.78,5.05,1.7300000000000004,120.0,2.98,0.892,0.807,normal,51.11,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.20058,86.39739,88184,1,2.33,0.2,2.13,120.0,6.7,0.903,0.652,normal,46.23,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.15211,86.49753,101194,1,3.4,1.03,2.37,120.0,12.69,0.265,0.577,normal,48.94,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,21.13969,86.41612,92842,1,2.63,0.2,2.4299999999999997,120.0,2.88,0.25,0.182,normal,47.62,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Bhadrak,20.85544,86.47291,111232,1,6.14,4.61,1.5299999999999994,120.0,5.08,0.528,0.86,normal,46.85,Odisha,21.06,86.5,1,6.56,5.24,1.32,1566.0,0.59,0.35,0.66
Odisha,Boudh,20.89423,84.01289,98263,0,6.07,4.77,1.3000000000000007,120.0,10.27,0.388,0.862,normal,30.22,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.96504,84.11427,84905,0,2.12,1.41,0.7100000000000002,120.0,0.42,0.566,0.227,normal,33.65,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,21.01656,84.32136,99736,0,4.57,2.68,1.8900000000000001,120.0,9.96,0.753,0.464,normal,39.63,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.85792,84.36488,110268,0,3.88,3.07,0.81,120.0,11.71,0.498,0.18,normal,34.77,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.79419,84.40601,77678,0,2.49,0.41,2.08,120.0,13.84,0.672,0.507,normal,32.49,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.88536,84.3551,98455,0,8.63,6.71,1.9200000000000008,120.0,2.09,0.575,0.508,normal,37.72,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.81887,84.47214,85297,0,6.25,3.8,2.45,120.0,11.12,0.59,0.446,normal,33.79,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.75802,84.00508,97208,0,3.16,0.32,2.8400000000000003,120.0,4.67,0.593,0.501,normal,43.66,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.95476,84.25081,82307,0,5.23,2.88,2.3500000000000005,120.0,3.21,0.726,0.337,normal,37.87,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.77921,84.51965,85495,0,7.6,6.01,1.5899999999999999,120.0,9.84,0.331,0.613,normal,31.2,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.99359,84.39676,89236,0,2.55,0.54,2.01,120.0,13.83,0.834,0.345,normal,37.12,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.80689,84.49839,99171,0,4.84,4.11,0.7299999999999995,120.0,9.23,0.802,0.146,normal,37.84,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.82497,84.46195,86330,0,7.54,6.65,0.8899999999999997,120.0,12.63,0.506,0.227,normal,29.07,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
Odisha,Boudh,20.76154,84.33908,69202,0,5.87,4.67,1.2000000000000002,120.0,15.92,0.703,0.336,normal,27.85,Odisha,20.84,84.32,0,6.91,4.09,2.82,1263.5,6.05,0.573,0.27
