State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,Location Type,Type Of Facility
Odisha,Gajapati,Gumma,chc,Gumma,,18.9826,84.02479,Y,Rural,Public
Odisha,Koraput,Laxmipur,chc,Laxmipur,,18.98626,83.11707,Y,Rural,Public
Odisha,Koraput,Dasamanthpur,chc,Podagoda,,19.01611,82.84777,Y,Rural,Public
Odisha,Rayagada,Gunupur,chc,Jagannathpur,,19.02655,83.77415,Y,Rural,Public
Odisha,Rayagada,Rayagada,chc,Jemadeipentho,,19.03316,83.4322,Y,Rural,Public
Odisha,Koraput,Dasamanthpur,chc,Dasmanthpur,,19.0413,82.91357,Y,Rural,Public
Odisha,Koraput,Boriguma,chc,Boriguma,,19.04502,82.55587,Y,Rural,Public
Odisha,Gajapati,Nuagada,chc,B K Pada,,19.05984,84.09475,Y,Rural,Public
Odisha,Ganjam,Patrapur,chc,Patrapur,,19.13076,84.57573,Y,Rural,Public
Odisha,Koraput,Kotpad,chc,Kotpad,,19.13483,82.32033,Y,Rural,Public
Odisha,Ganjam,Chikiti,chc,Girisola,,19.16121,84.71587,Y,Rural,Public
Odisha,Gajapati,R. Udayagiri,chc,R Udayagiri,,19.16243,84.1458,Y,Rural,Public
Odisha,Ganjam,Chikiti,chc,Chikiti,,19.20039,84.61992,Y,Rural,Public
Odisha,Nabarangapur,Nawarangapur,chc,Sanamasigam,,19.21118,82.45084,Y,Rural,Public
Odisha,Ganjam,Rangeilunda,chc,Keluapalli,,19.21239,84.81959,Y,Rural,Public
Odisha,Nabarangapur,Nandahandi,chc,Nandahandi,,19.2141,82.64247,Y,Rural,Public
Odisha,Rayagada,Ramanaguda,chc,Ramanaguda,,19.22029,83.67438,Y,Rural,Public
Odisha,Rayagada,Padmapur,chc,Padmapur,,19.23443,83.82153,Y,Rural,Public
Odisha,Rayagada,Kolnora,chc,Kolnora,,19.2481,83.46051,Y,Rural,Public
Odisha,Nabarangapur,Kosagumuda,chc,Kosagumuda,,19.27443,82.24438,Y,Rural,Public
Odisha,Ganjam,Digapahandi,chc,Bomkei,,19.28471,84.53796,Y,Rural,Public
Odisha,Nabarangapur,Tentulikhunti,chc,Tentulikhunti,,19.29289,82.72626,Y,Rural,Public
Odisha,Gajapati,Mohana,chc,CHANDAGIRI,,19.30205,84.28598,Y,Rural,Public
Odisha,Nabarangapur,Papadahandi,chc,Papadahandi,,19.33977,82.51786,Y,Rural,Public
Odisha,Rayagada,Gudari,chc,Gudari,,19.34425,83.78601,Y,Rural,Public
Odisha,Rayagada,Kashipur,chc,Kashipur,,19.35396,83.12696,Y,Rural,Public
Odisha,Ganjam,Digapahandi,chc,Digapahandi,,19.37172,84.5661,Y,Rural,Public
Odisha,Ganjam,Kukudakhandi,chc,Kukudakhandi,,19.40039,84.75173,Y,Rural,Public
Odisha,Ganjam,Hinjilicut,chc,Bellagam,,19.42994,84.8232,Y,Rural,Public
Odisha,Ganjam,Chhatrapur,chc,Municipentho,,19.43382,84.99229,Y,Rural,Public
Odisha,Ganjam,Purusottampur,chc,Bhatakumarada,,19.43603,84.87576,Y,Rural,Public
Odisha,Gajapati,Mohana,chc,Mohana,,19.43977,84.26071,Y,Rural,Public
Odisha,Ganjam,Sanakhemundi,chc,Adapada,,19.45202,84.64377,Y,Rural,Public
Odisha,Nabarangapur,Dabugaon,chc,Dabugaon,,19.45383,82.414,Y,Rural,Public
Odisha,Kalahandi,Jaipatna,chc,Jaipatna,,19.46859,82.81027,Y,Rural,Public
Odisha,Ganjam,Ganjam,chc,Khandadeuli,,19.48351,85.01366,Y,Rural,Public
Odisha,Ganjam,Hinjilicut,chc,Hinjilicut,,19.48364,84.7394,Y,Rural,Public
Odisha,Rayagada,Kalyansingpur,chc,Kalyansingpur,,19.50673,83.31315,Y,Rural,Public
Odisha,Ganjam,Sheragada,chc,Shearagada,,19.51091,84.6068,Y,Rural,Public
Odisha,Rayagada,Bissamcuttack,chc,Bissamcuttack,,19.5163,83.50848,Y,Rural,Public
Odisha,Ganjam,Purusottampur,chc,PURUSOTTAMPUR,,19.51993,84.88211,Y,Rural,Public
Odisha,Kalahandi,Th. Rampur,chc,Thuamul Rampur,,19.54512,82.93883,Y,Rural,Public
Odisha,Ganjam,Kavi Surya Nagar,chc,Kabi Surya Nagar,,19.58105,84.75483,Y,Rural,Public
Odisha,Rayagada,Chandrapur,chc,Chandrapur,,19.59802,83.88011,Y,Rural,Public
Odisha,Ganjam,Aska,chc,Aska,,19.60858,84.67028,Y,Rural,Public
Odisha,Ganjam,Khallikote,chc,Khalikote,,19.60901,85.09047,Y,Rural,Public
Odisha,Kalahandi,Kalampur,chc,Kalampur,,19.61431,82.88425,Y,Rural,Public
Odisha,Ganjam,Beguniapada,chc,Kodala,,19.6304,84.93996,Y,Rural,Public
Odisha,Rayagada,Muniguda,chc,Muniguda,,19.63054,83.48476,Y,Rural,Public
Odisha,Puri,Krushnaprasad,chc,Krushna Prasad,,19.63488,85.26502,Y,Rural,Public
Odisha,Ganjam,Dharakote,chc,Dharakote,,19.64226,84.57381,Y,Rural,Public
Odisha,Ganjam,Sorada,chc,Badagada,,19.64569,84.41444,Y,Rural,Public
Odisha,Nabarangapur,Umerkote,chc,Umarkote,,19.6578,82.21765,Y,Rural,Public
Odisha,Puri,Krushnaprasad,chc,Chilka Nuapada,,19.66357,85.38094,Y,Rural,Public
Odisha,Kalahandi,Koksara,chc,Koksara,,19.66806,82.70196,Y,Rural,Public
Odisha,Ganjam,Aska,chc,Balisira,,19.69735,84.63779,Y,Rural,Public
Odisha,Ganjam,Polsara,chc,Polosara,,19.69736,84.81265,Y,Rural,Public
Odisha,Ganjam,Beguniapada,chc,Sumandal,,19.70904,85.0373,Y,Rural,Public
Odisha,Kalahandi,Lanjigarh,chc,Lanjigarh,,19.71219,83.36369,Y,Rural,Public
Odisha,Nabarangapur,Jharigaon,chc,Jharigam,,19.7128,82.37128,Y,Rural,Public
Odisha,Ganjam,Sorada,chc,Surada,,19.7269,84.43866,Y,Rural,Public
Odisha,Kalahandi,Junagarh,chc,Chiliguda,,19.7307,82.90639,Y,Rural,Public
Odisha,Nabarangapur,Umerkote,chc,Pujariguda,,19.73205,82.20373,Y,Rural,Public
Odisha,Khordha,Chilika,chc,Balugaon,,19.7427,85.20785,Y,Rural,Public
Odisha,Khordha,Banpur,chc,Banapur,,19.78155,85.17546,Y,Rural,Public
Odisha,Puri,Brahmagiri,chc,Rebana Nuagaon,,19.80092,85.69789,Y,Rural,Public
Odisha,Kalahandi,Dharmagarh,chc,Parla,,19.80566,82.70417,Y,Rural,Public
Odisha,Ganjam,Buguda,chc,Buguda,,19.81302,84.78758,Y,Rural,Public
Odisha,Kalahandi,Lanjigarh,chc,Biswanathpur,,19.82498,83.42908,Y,Rural,Public
Odisha,Kandhamal,Kotagarh,chc,Subarnagiri,,19.83027,83.86006,Y,Rural,Public
Odisha,Ganjam,Belguntha,chc,Gobara,,19.83032,84.60093,Y,Rural,Public
Odisha,Nabarangapur,Chandahandi,chc,Chandahandi,,19.84559,82.49473,Y,Rural,Public
Odisha,Khordha,Banpur,chc,Gambharimunda,,19.8466,85.21565,Y,Rural,Public
Odisha,Kalahandi,Junagarh,chc,Junagarh,,19.86042,82.93783,Y,Rural,Public
Odisha,Ganjam,Belguntha,chc,Bellaguntha,,19.87751,84.63847,Y,Rural,Public
Odisha,Puri,Puri,chc,Chandanpur,,19.88729,85.81898,Y,Rural,Public
Odisha,Kandhamal,Daringibadi,chc,Daringbadi,,19.90701,84.12549,Y,Rural,Public
Odisha,Khordha,Tangi,chc,Tangi,,19.92291,85.39737,Y,Rural,Public
Odisha,Puri,Kakatpur,chc,Bangurigaon,,19.93571,86.19395,Y,Rural,Public
Odisha,Puri,Satyabadi,chc,Sakhigopal,,19.94548,85.82049,Y,Rural,Public
Odisha,Puri,Satyabadi,chc,Algum,,19.95062,85.7472,Y,Rural,Public
Odisha,Kandhamal,Tumudibandha,chc,Tumudibandha,,19.96914,83.70759,Y,Rural,Public
Odisha,Ganjam,Jagannath prasad,chc,Jaganath Prasad,,19.97243,84.78262,Y,Rural,Public
Odisha,Puri,Astaranga,chc,Astaranga,,19.9761,86.27152,Y,Rural,Public
Odisha,Puri,Gop,chc,Gop,,19.98479,86.02047,Y,Rural,Public
Odisha,Puri,Kanas,chc,Kanas,,20.00382,85.65072,Y,Rural,Public
Odisha,Nabarangapur,Raighar,chc,Hatabharandi,,20.01513,81.91457,Y,Rural,Public
Odisha,Nayagarh,Odagaon,chc,Odagaon,,20.01716,84.97991,Y,Rural,Public
Odisha,Kalahandi,Kesinga,chc,Pastikudi,,20.02065,83.17738,Y,Rural,Public
Odisha,Nayagarh,Odagaon,chc,Sarankul,,20.02694,85.08462,Y,Rural,Public
Odisha,Puri,Nimapara,chc,Nimapada,,20.04956,86.00712,Y,Rural,Public
Odisha,Kalahandi,Narla,chc,Narla,,20.05932,83.38963,Y,Rural,Public
Odisha,Kandhamal,Raikia,chc,Raikia,,20.05958,84.23843,Y,Rural,Public
Odisha,Puri,Delanga,chc,Delanga,,20.06026,85.74628,Y,Rural,Public
Odisha,Nayagarh,Ranapur,chc,Ranpur,,20.06108,85.34742,Y,Rural,Public
Odisha,Puri,Nimapara,chc,Charichhak,,20.06399,85.99289,Y,Rural,Public
Odisha,Khordha,Begunia,chc,Botalama,,20.08888,85.4299,Y,Rural,Public
Odisha,Kalahandi,Golamunda,chc,Chapuria,,20.09112,82.86715,Y,Rural,Public
Odisha,Ganjam,Bhanjanagar,chc,Gallery,,20.09472,84.56743,Y,Rural,Public
Odisha,Nuapada,Sinapali,chc,Sinapali,,20.09852,82.64098,Y,Rural,Public
Odisha,Jagatsinghpur,Naugaon,chc,Naugaon,,20.1034,86.18935,Y,Rural,Public
Odisha,Puri,Pipili,chc,Pipli,,20.10713,85.83662,Y,Rural,Public
Odisha,Kandhamal,G. Udayagiri,chc,G.Udayagari,,20.10942,84.36831,Y,Rural,Public
Odisha,Puri,Pipili,chc,Panidol,,20.11891,85.78378,Y,Rural,Public
Odisha,Kandhamal,K Nuagaon,chc,K. Nuagaon,,20.13698,84.01454,Y,Rural,Public
Odisha,Kandhamal,G. Udayagiri,chc,Gressingia,,20.13734,84.34637,Y,Rural,Public
Odisha,Cuttack,Niali,chc,Niali,,20.13949,86.06837,Y,Rural,Public
Odisha,Jagatsinghpur,Balikuda,chc,Balikuda,,20.14279,86.27273,Y,Rural,Public
Odisha,Nayagarh,Nayagarh,chc,Badapandusar,,20.15178,85.17867,Y,Rural,Public
Odisha,Khordha,Jatani,chc,Jatani,,20.15234,85.70319,Y,Urban,Public
Odisha,Kalahandi,Bhawanipatna,chc,Borda,,20.15841,82.98493,Y,Rural,Public
Odisha,Nayagarh,Nuagaon,chc,Mahipur,,20.16401,84.99457,Y,Rural,Public
Odisha,Nayagarh,Ranapur,chc,Rajsunakhala,,20.16663,85.33291,Y,Rural,Public
Odisha,Khordha,Bolgarh,chc,Bolagarh,,20.17294,85.28005,Y,Rural,Public
Odisha,Puri,Pipili,chc,Managalpur,,20.17398,85.88529,Y,Rural,Public
Odisha,Kalahandi,Kesinga,chc,Kesinga,,20.18677,83.22318,Y,Rural,Public
Odisha,Kalahandi,M. Rampur,chc,Madanpur Rampur,,20.19216,83.51945,Y,Rural,Public
Odisha,Khordha,Balianta,chc,Balakati,,20.2012,85.87731,Y,Rural,Public
Odisha,Jagatsinghpur,Ersama,chc,Ersama,,20.20137,86.40738,Y,Rural,Public
Odisha,Khordha,Balipatna,chc,Balipatna,,20.20309,85.96186,Y,Rural,Public
Odisha,Khordha,Bolgarh,chc,Bankoi,,20.21525,85.3451,Y,Rural,Public
Odisha,Cuttack,KANTAPADA,chc,Adaspur,,20.21858,86.01385,Y,Rural,Public
Odisha,Kandhamal,K Nuagaon,chc,Sarangarh,,20.2248,84.13042,Y,Rural,Public
Odisha,Balangir,Bangomunda,chc,Sindhekela,,20.22743,82.93592,Y,Rural,Public
Odisha,Balangir,Titilagarh,chc,Kholan,,20.22982,83.08546,Y,Rural,Public
Odisha,Kandhamal,Tikabali,chc,Tikabali,,20.24016,84.3507,Y,Rural,Public
Odisha,Kandhamal,Baliguda,chc,Barakhama,,20.24078,83.83644,Y,Rural,Public
Odisha,Nuapada,Boden,chc,Boden,,20.24916,82.57058,Y,Rural,Public
Odisha,Nayagarh,Khandapada,chc,Khandapada,,20.26484,85.17154,Y,Rural,Public
Odisha,Jagatsinghpur,Kujanga,chc,Paradeep CHC,,20.26743,86.65297,Y,Urban,Public
Odisha,Khordha,Bhubaneswar,chc,Unit 4 Hospital,,20.26781,85.83647,Y,Urban,Public
Odisha,Khordha,Bhubaneswar,chc,Mendhasala,,20.27099,85.70114,Y,Rural,Public
Odisha,Jagatsinghpur,Jagatsinghpur,chc,Mandasahi,,20.27542,86.10931,Y,Rural,Public
Odisha,Khordha,Khurda,chc,Haladia,,20.2779,85.57493,Y,Rural,Public
Odisha,Nayagarh,Bhapur,chc,Bhapur,,20.28395,85.29156,Y,Rural,Public
Odisha,Nuapada,Khariar,chc,Khariar,,20.29494,82.75804,Y,Rural,Public
Odisha,Jagatsinghpur,Tirtol,chc,Manijanga,,20.30514,86.37892,Y,Rural,Public
Odisha,Kandhamal,Chakapada,chc,Brahmanpad,,20.31054,84.47914,Y,Rural,Public
Odisha,Nayagarh,Khandapada,chc,Nuagadiasahi,,20.31268,85.22633,Y,Rural,Public
Odisha,Jagatsinghpur,Kujanga,chc,Kunjanga,,20.31955,86.52682,Y,Rural,Public
Odisha,Nayagarh,Dasapalla,chc,Dasapalla,,20.33132,84.84882,Y,Rural,Public
Odisha,Nayagarh,Dasapalla,chc,Madhyakhanda,,20.33828,84.92886,Y,Rural,Public
Odisha,Cuttack,Baranga,chc,Mahidharpada,,20.33924,85.92118,Y,Rural,Public
Odisha,Jagatsinghpur,Biridi,chc,Biridi,,20.35721,86.08302,Y,Rural,Public
Odisha,Kandhamal,Phiringia,chc,Phiringia,,20.35791,84.12299,Y,Rural,Public
Odisha,Jagatsinghpur,Raghunathpur,chc,Raghunathpur,,20.36276,86.16055,Y,Rural,Public
Odisha,Kandhamal,Phulbani,chc,Gumagarh,,20.36287,84.26924,Y,Rural,Public
Odisha,Kalahandi,Karlamunda,chc,Karlamunda,,20.36736,83.46979,Y,Rural,Public
Odisha,Cuttack,Dampada,chc,Dompada,,20.38858,85.62711,Y,Rural,Public
Odisha,Balangir,Muribahal,chc,Muribahal,,20.38914,83.01006,Y,Rural,Public
Odisha,Kendrapara,Patkura,chc,Patkura,,20.38961,86.40632,Y,Rural,Public
Odisha,Cuttack,Narsinghapur,chc,Kanpur,,20.40189,85.17948,Y,Rural,Public
Odisha,Nayagarh,Gania,chc,Gania,,20.40199,85.05054,Y,Rural,Public
Odisha,Cuttack,Cuttack,chc,Bentkar,,20.40486,85.94683,Y,Rural,Public
Odisha,Balangir,Gudvela,chc,Gudvela,,20.41347,83.56788,Y,Rural,Public
Odisha,Cuttack,Baramba,chc,Badamba,,20.41737,85.34605,Y,Rural,Public
Odisha,Kendrapara,Marsaghai,chc,Marsaghai,,20.42258,86.47791,Y,Rural,Public
Odisha,Kendrapara,Mahakalapada,chc,Mahakalpada,,20.42347,86.58024,Y,Rural,Public
Odisha,Cuttack,SUBARNAPUR,chc,Subarnapur,,20.43656,85.60597,Y,Rural,Public
Odisha,Cuttack,Baramba,chc,Maniabandh,,20.43659,85.42997,Y,Rural,Public
Odisha,Kandhamal,Khajuripada,chc,Khajuripada,,20.43702,84.40933,Y,Rural,Public
Odisha,Cuttack,Tigiria,chc,Bindhanima,,20.44172,85.49571,Y,Rural,Public
Odisha,Balangir,Saintala,chc,Saintala,,20.44363,83.36145,Y,Rural,Public
Odisha,Cuttack,Narsinghapur,chc,Narsinghpur,,20.45813,85.07803,Y,Rural,Public
Odisha,Cuttack,Tigiria,chc,Tigiria,,20.46786,85.47742,Y,Rural,Public
Odisha,Balangir,Turekela,chc,Kantabanji,,20.46972,82.91973,Y,Rural,Public
Odisha,Cuttack,Salepur,chc,Salipur,,20.47292,86.09849,Y,Rural,Public
Odisha,Cuttack,Nischintakoil,chc,Nischintakoili,,20.47851,86.17989,Y,Rural,Public
Odisha,Cuttack,Athagarh,chc,Berhampur,,20.49142,85.76488,Y,Rural,Public
Odisha,Baudh,Harbhanga,chc,Adenigarh,,20.4955,84.48331,Y,Rural,Public
Odisha,Nuapada,Komna,chc,Komna,,20.50409,82.66927,Y,Rural,Public
Odisha,Balangir,Turekela,chc,Turekela,,20.50447,82.80689,Y,Rural,Public
Odisha,Cuttack,Narsinghapur,chc,Judum,,20.52373,84.96909,Y,Rural,Public
Odisha,Nuapada,Komna,chc,Bhella,,20.52938,82.63511,Y,Rural,Public
Odisha,Cuttack,Tangichoudwar,chc,Tangi,,20.53439,85.92529,Y,Rural,Public
Odisha,Kendrapara,Derabis,chc,Derabish,,20.54216,86.33596,Y,Rural,Public
Odisha,Balangir,Deogaon,chc,Deogaon,,20.54496,83.42344,Y,Rural,Public
Odisha,Cuttack,Mahanga,chc,Mahanga,,20.55707,86.20087,Y,Rural,Public
Odisha,Kendrapara,Rajnagar,chc,Rajnagar,,20.57187,86.71792,Y,Rural,Public
Odisha,Kendrapara,Pattamundai,chc,Pattamundai,,20.57886,86.5619,Y,Rural,Public
Odisha,Balangir,Belpara,chc,Belpara,,20.59089,82.96774,Y,Rural,Public
Odisha,Dhenkanal,Hindol,chc,Khajuria Kata,,20.60497,85.20396,Y,Rural,Public
Odisha,Kendrapara,Kendrapara,chc,Indupur,,20.61589,86.40174,Y,Rural,Public
Odisha,Baudh,Harbhanga,chc,Purunakatak,,20.62699,84.4315,Y,Rural,Public
Odisha,Baudh,Kantamal,chc,Kantamal,,20.6568,83.73805,Y,Rural,Public
Odisha,Jajapur,Barachana,chc,Barachana,,20.669,86.12765,Y,Rural,Public
Odisha,Jajapur,Bari,chc,Bari,,20.68762,86.35188,Y,Rural,Public
Odisha,Kendrapara,Aul,chc,Aali,,20.68765,86.65282,Y,Rural,Public
Odisha,Dhenkanal,Dhenkanal,chc,Beltikiri,,20.69492,85.69339,Y,Rural,Public
Odisha,Balangir,Balangir,chc,Chudapali,,20.71856,83.29494,Y,Rural,Public
Odisha,Jajapur,Binjharpur,chc,Binjharpur,,20.72341,86.40865,Y,Rural,Public
Odisha,Sonapur,Tarva,chc,Tarva,,20.72822,83.67873,Y,Rural,Public
Odisha,Kendrapara,Rajkanika,chc,Rajkanika,,20.73852,86.69878,Y,Rural,Public
Odisha,Anugul,Angul,chc,Bantala,,20.74247,85.06562,Y,Rural,Public
Odisha,Balangir,Khaprakhol,chc,Khaprakhol,,20.75477,82.86086,Y,Rural,Public
Odisha,Dhenkanal,Odapada,chc,Odapada,,20.76504,85.43342,Y,Rural,Public
Odisha,Bhadrak,Chandabali,chc,Chandbali,,20.77346,86.7412,Y,Rural,Public
Odisha,Dhenkanal,Gondia,chc,Sriram Chandra Pur,,20.77449,85.8071,Y,Rural,Public
Odisha,Jajapur,Dharmasala,chc,Dharmasala,,20.77746,86.16504,Y,Rural,Public
Odisha,Jajapur,Jajpur,chc,Markandapur,,20.78339,86.33575,Y,Rural,Public
Odisha,Anugul,Athamallik,chc,MADHAPUR,,20.78354,84.41999,Y,Rural,Public
Odisha,Balangir,Puintala,chc,Jamgaon,,20.79206,83.58727,Y,Rural,Public
Odisha,Dhenkanal,Kamakhyanagar,chc,Analaberini,,20.81045,85.54333,Y,Rural,Public
Odisha,Jajapur,Dasarathpur,chc,Mangalpur,,20.81152,86.51972,Y,Rural,Public
Odisha,Balangir,Patnagarh,chc,Ghasian,,20.81278,83.17975,Y,Rural,Public
Odisha,Baudh,Boudh,chc,Baunsuni,,20.81376,84.07411,Y,Rural,Public
Odisha,Sonapur,Sonepur,chc,Naikenpali,,20.8151,83.6811,Y,Rural,Public
Odisha,Baudh,Kantamal,chc,Manamunda,,20.82196,83.91521,Y,Rural,Public
Odisha,Jajapur,Rasalpur,chc,Madhubana,,20.83156,86.16395,Y,Rural,Public
Odisha,Jajapur,Dasarathpur,chc,Dasarathpur,,20.83185,86.44926,Y,Rural,Public
Odisha,Anugul,Banarapal,chc,BANARPAL,,20.84026,85.21585,Y,Rural,Public
Odisha,Balangir,Loisingha,chc,Loisingha,,20.86006,83.51048,Y,Rural,Public
Odisha,Dhenkanal,Bhuban,chc,Jiral,,20.86384,85.68102,Y,Rural,Public
Odisha,Dhenkanal,Bhuban,chc,Bhuban,,20.88373,85.82959,Y,Rural,Public
Odisha,Nuapada,Nuapada,chc,KhariarRoad,,20.89191,82.50769,Y,Rural,Public
Odisha,Dhenkanal,Bhuban,chc,Mathakar Gola,,20.90047,85.68536,Y,Rural,Public
Odisha,Bhadrak,Dhamnagar,chc,Dhamnagar,,20.90808,86.4531,Y,Rural,Public
Odisha,Dhenkanal,Parjanga,chc,Parjanga,,20.91935,85.31496,Y,Rural,Public
Odisha,Jajapur,Dist Level Facility,chc,Jajpur Road,,20.9469,86.138634,Y,Urban,Public
Odisha,Sonapur,Ullanda,chc,Ullunda,,20.95713,83.88161,Y,Rural,Public
Odisha,Bhadrak,Bhandaripokhari,chc,Bhandaripokhari,,20.96073,86.3718,Y,Rural,Public
Odisha,Jajapur,Danagadi,chc,Danagadi,,20.96537,86.07986,Y,Rural,Public
Odisha,Anugul,Rajkishore Nagar,chc,RAJKISHORENAGAR,,20.96584,84.48604,Y,Rural,Public
Odisha,Jajapur,Sukinda,chc,Sukinda,,20.9681,85.91324,Y,Rural,Public
Odisha,Jajapur,Korei,chc,Korei,,20.96999,86.18684,Y,Rural,Public
Odisha,Bargarh,Gaiselet,chc,Talpali,,20.97428,83.21629,Y,Rural,Public
Odisha,Bhadrak,Tihidi,chc,Tihidi,,20.98652,86.63937,Y,Rural,Public
Odisha,Dhenkanal,Kankadahad,chc,Birasal,,20.99388,85.67733,Y,Rural,Public
Odisha,Balangir,Agalpur,chc,Agalpur,,21.00663,83.40998,Y,Rural,Public
Odisha,Bargarh,Padmapur,chc,JAMLA,,21.00811,83.17863,Y,Rural,Public
Odisha,Anugul,Chhendipada,chc,Kosala,,21.01637,84.92992,Y,Rural,Public
Odisha,Anugul,Talcher,chc,Godibandha,,21.02023,85.17742,Y,Rural,Public
Odisha,Sonapur,Binka,chc,Binka,,21.02471,83.8124,Y,Rural,Public
Odisha,Bargarh,Paikamal,chc,Bukuramunda,,21.03212,82.93497,Y,Rural,Public
Odisha,Sonapur,Dunguripali,chc,Dunguripali,,21.0452,83.55021,Y,Rural,Public
Odisha,Keonjhar,Hatadihi,chc,Salania,,21.08016,86.28049,Y,Rural,Public
Odisha,Bhadrak,Bhadrak,chc,Barpada,,21.08522,86.43128,Y,Rural,Public
Odisha,Anugul,Chhendipada,chc,Chhendipada,,21.08657,84.88687,Y,Rural,Public
Odisha,Anugul,Kaniha,chc,Kaniha,,21.09378,85.04907,Y,Rural,Public
Odisha,Bargarh,Barapali,chc,Agalpur,,21.10118,83.53545,Y,Rural,Public
Odisha,Bargarh,Jharbandha,chc,Dava,,21.1031,82.70213,Y,Rural,Public
Odisha,Sambalpur,Rairakhol,chc,Charmal,,21.10848,84.2154,Y,Rural,Public
Odisha,Keonjhar,Ghasipura,chc,Sainkul,,21.12076,86.12842,Y,Rural,Public
Odisha,Bhadrak,Basudevpur,chc,Basudevpur,,21.12312,86.7429,Y,Rural,Public
Odisha,Baleshwar,Simulia,chc,Simulia,,21.15977,86.58114,Y,Rural,Public
Odisha,Keonjhar,Ghasipura,chc,Kesudurpal,,21.16486,86.01045,Y,Rural,Public
Odisha,Bargarh,Bijepur,chc,Bijepur,,21.19,83.4677,Y,Rural,Public
Odisha,Bargarh,Barapali,chc,Barpali,,21.19105,83.58675,Y,Rural,Public
Odisha,Bargarh,Bheden,chc,Bheden,,21.19654,83.75302,Y,Rural,Public
Odisha,Bhadrak,Bonth,chc,Agarpada,,21.20728,86.36759,Y,Rural,Public
Odisha,Keonjhar,Anandapur,chc,Fakirpur,,21.21646,86.11403,Y,Rural,Public
Odisha,Baleshwar,Soro,chc,Anatapur,,21.22914,86.76051,Y,Rural,Public
Odisha,Sambalpur,Jujomura,chc,Jujomura,,21.23776,84.13375,Y,Rural,Public
Odisha,Sambalpur,Naktideul,chc,Naktideul,,21.25605,84.54399,Y,Rural,Public
Odisha,Anugul,Pallahara,chc,KHAMAR,,21.26844,85.19483,Y,Rural,Public
Odisha,Keonjhar,Harichandanpur,chc,Bhagamunda,,21.27373,85.85773,Y,Rural,Public
Odisha,Baleshwar,Soro,chc,Soro,,21.27879,86.69334,Y,Rural,Public
Odisha,Baleshwar,Khaira,chc,Khaira,,21.28413,86.47052,Y,Rural,Public
Odisha,Bargarh,Sohella,chc,Sohela,,21.29893,83.40501,Y,Rural,Public
Odisha,Baleshwar,Bahanaga,chc,Gopalpur,,21.31857,86.82767,Y,Rural,Public
Odisha,Keonjhar,Harichandanpur,chc,Harichandanpur,,21.34315,85.78982,Y,Rural,Public
Odisha,Baleshwar,Oupada,chc,Iswarpur,,21.34648,86.7204,Y,Rural,Public
Odisha,Deogarh,Riamal,chc,Chhatabar,,21.35451,84.68742,Y,Rural,Public
Odisha,Keonjhar,Telkoi,chc,Telkoi,,21.3663,85.40726,Y,Rural,Public
Odisha,Bargarh,Attabira,chc,Attabira,,21.37218,83.78562,Y,Rural,Public
Odisha,Keonjhar,Ghatgaon,chc,Ghatagaon,,21.39319,85.899,Y,Rural,Public
