SrNo,Health Facility Name,pincode,latitude,longitude,altitude,Facility Type,State_Name,District_Name,Taluka_Name,Unnamed: 10
1180,Guali PHC,758051,21.97698,85.29529,0,Primary Health Centre,Odisha,Kendujhar,Barbil P.S.,
1181,Jagannathpur PHC,758031,21.7626,85.53893,0,Primary Health Centre,Odisha,Kendujhar,Kendujhar Town P.S.,
1182,Maidankel PHC,758014,21.65839,85.7197,0,Primary Health Centre,Odisha,Kendujhar,Kendujhar Town P.S.,
1183,Raisuan PHC,758013,21.67616,85.59123,0,Primary Health Centre,Odisha,Kendujhar,Kendujhar Town P.S.,
1184,Bardapal PHC,758013,21.69651,85.52531,0,Primary Health Centre,Odisha,Kendujhar,Kendujhar Town P.S.,
1185,Jodipada PHC,758013,21.73741,85.65032,0,Primary Health Centre,Odisha,Kendujhar,Kendujhar Town P.S.,
1186,Palaspanga SC,758031,21.7907,85.53179,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1187,Badaposi SC,758014,21.5763,85.69057,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1188,Baradapal SC,758013,21.70118,85.52966,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1189,Bauripada SC,758013,21.71476,85.60808,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1190,Kalimati PHC,758037,21.8662,85.40941,0,Primary Health Centre,Odisha,Kendujhar,Barbil P.S.,
1191,Birakishorpur SC,758013,21.74061,85.55286,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1192,Aneseikala SC,758051,22.07463,85.532,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1193,Bodapalasa SC,758002,21.67683,85.63002,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1194,Balagoda SC,758051,21.9709,85.4656,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1195,Ghutur SC,758002,21.64713,85.64505,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1196,Bambari SC,758037,22.02812,85.42853,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1197,Gobardhan SC,758013,21.74354,85.59773,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1198,Basudevpur SC,758051,22.02794,85.53006,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1199,Belda SC,758037,21.89132,85.46551,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1200,Handibhanga SC,758031,21.78428,85.62947,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1201,Jajaposi SC,758013,21.63537,85.75296,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1202,TentulinandaSc,758014,21.62948,85.66072,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1203,Benuapani SC,758037,21.99928,85.32175,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1204,Sirispal SC,758014,21.60111,85.62728,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1205,Bhadrasahi SC,758051,22.05253,85.39536,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1206,Saraskala SC,758030,21.79742,85.56109,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1207,Janardanpur SC,758013,21.7152,85.47389,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1208,Bhuyanroida SC,758051,22.0035,85.37635,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1209,Sankiri SC,758013,21.72883,85.64064,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1210,Jharbelda SC,758013,21.67844,85.67506,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1211,Birikala SC,758051,22.04447,85.47444,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1212,Raisuan SC,758013,21.6776,85.58936,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1213,Kandaraposi SC,758013,21.8114,85.52649,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1214,Bolani SC,758037,22.08631,85.32787,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1215,Raikala SC,758031,21.81764,85.60963,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1216,Kathabari SC,758013,21.61284,85.80493,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1217,Bolani II SC,758037,22.11038,85.34306,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1218,Raghunathpur SC,758014,21.60728,85.71325,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1219,Kaunrikala SC,758031,21.76981,85.61727,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1220,Patung SC,758031,21.78271,85.54014,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1221,Kempasada SC,758013,21.69166,85.62505,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1222,Mahedeijoda,758013,21.6963,85.54307,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1223,Patung,758031,21.78271,85.54014,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1224,Parjanpur SC,758031,21.7907,85.53179,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1225,Palaspanga SC,758031,21.78265,85.57459,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1226,Padampur SC,758013,21.72609,85.5898,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1227,Chamakpur SC,758053,22.00555,85.47997,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1228,Nuagaon SC,758076,21.72587,85.54577,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1229,Chormalda SC,758053,21.96498,85.36342,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1231,Naranpur SC,758014,21.60551,85.65854,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1232,Maidankel SC,758014,21.6614,85.71768,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1233,Mahedeijoda SC,758013,21.6963,85.54307,0,SubCentre,Odisha,Kendujhar,Kendujhar Town P.S.,
1234,Daduan SC,758053,22.02302,85.46377,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1235,Dhobakuchida,758037,21.98952,85.51279,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1236,Guali SC,758037,21.97597,85.29618,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1237,Guruda SC,758037,21.92238,85.39344,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1238,Gurutuan SC,758037,21.91211,85.46339,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1239,Haramath SC,758037,22.11733,85.38257,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1240,Jajanga SC,758052,21.9442,85.44022,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1241,Jalahari SC,758052,21.96473,85.42225,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1242,Jurudi SC,758037,22.12409,85.47584,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1243,Kalimati SC,758037,21.86829,85.39714,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1244,Talajagar PHC,758072,21.62769,85.53637,0,Primary Health Centre,Odisha,Kendujhar,Nayakote P.S.,
1245,Kandra SC,758052,22.04369,85.5069,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1246,Karakhendra SC,758037,22.14281,85.41915,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1247,Kiriburu SC,758040,22.06959,85.2868,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1248,Kolha Hundula SC,758037,22.02949,85.27501,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1249,Kolharoida,758037,22.01899,85.3912,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1250,Palasa SC,758037,21.91476,85.42634,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1251,Rugudihi SC,758037,21.99986,85.49857,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1252,Serenda SC,758037,21.99986,85.49857,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1253,Sialijoda SC,758037,22.07572,85.47942,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1254,Soyabali SC,758037,22.08115,85.41761,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1259,Daduan,758053,21.85663,85.4077,0,SubCentre,Odisha,Kendujhar,Barbil P.S.,
1260,Karadangi PHC,758076,21.28439,85.33138,0,Primary Health Centre,Odisha,Kendujhar,Telkoi P.S.,
1311,JANHAPADA,768101,21.34736,83.74119,0,Primary Health Centre,Odisha,Bargarh,Attabira,
1312,LAHANDA PRIMARY HEALTH CENTRE,768111,21.44439,83.85555,0,Primary Health Centre,Odisha,Bargarh,Attabira,
1313,LAKHMARA  PRIMARY HEALTH CENTRE,768036,21.08618,83.02734,0,Primary Health Centre,Odisha,Bargarh,Paikamal,
1314,KHUNTPALI PRIMARY HEALTH CENTRE,768028,21.27473,83.62804,0,Primary Health Centre,Odisha,Bargarh,Bargarh,
1315,TALMENDA PRIMARY HEALTH CENTRE,768103,21.26712,83.72493,0,Primary Health Centre,Odisha,Bargarh,Bheden,
1316,ANLAKUDA PHC(N),757021,22.0765,86.83649,0,Primary Health Centre,Odisha,Mayurbhanj,Suliapada P.S.,
1317,Angalo PHC,755004,20.66188,86.4517,0,Primary Health Centre,Odisha,Jajapur  ,Bari - Ramachandrapur P.S.(New),
1318,Rama Devi Govt. Hospital,755024,20.77046,86.0811,0,Others,Odisha,Jajapur  ,Dharmasala P.S. (P),
1319,BARAKHAI,755026,21.01986,86.04241,0,Primary Health Centre,Odisha,Jajapur  ,Kalinganagar P.S. (P),
1321,DASARATHPUR,755006,20.83185,86.44926,0,Community Health Center,Odisha,Jajapur  ,Mangalpur P.S. ,
1322,UNIT4 CHC,751001,20.279581,85.827312,0,Community Health Center,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1323,Sarakana,752101,20.22249,85.90915,0,Primary Health Centre,Odisha,Khordha ,Balianta ,
1324,Chhadeipahadi,757048,22.30596,86.39619,0,Primary Health Centre,Odisha,Mayurbhanj,Rairangpur P.S.,
1325,Halanda PHC,752031,19.83267,85.16738,0,Primary Health Centre,Odisha,Khordha ,\N,
1327,Assembly Zonal Dispensary,751000,20.276,85.84687,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1328,Balipatpur PHC,752021,19.93529,85.49818,0,Primary Health Centre,Odisha,Khordha ,\N,
1329,Govt Dispensary Baramunda,751015,20.28037,85.84302,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1330,Kalpana Dispensary Kalpana Square,751014,20.27829,85.841,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1331,Secretariate Zonal Dispensary,751000,20.26488,85.83426,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1332,Sisubhaban Dispensary,751009,20.28904,85.84749,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1333,TBMAC,751006,20.26271,85.83344,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1334,Zonal Dispensary Chandrasekharpur,751016,20.33155,85.82558,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1335,Zonal Dispensary Dumduma,751030,20.27188,85.85846,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1336,Zonal Dispensary IRC Village,751015,20.27098,85.80061,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1337,Zonal Dispensary Saheed Nagar,751007,20.2796,85.8469,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1338,Zonal Dispensary Satya Nagar,751007,20.29388,85.80292,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1339,Zonal Dispensary Unit 3,751009,20.27509,85.81155,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1340,Zonal Dispensary Unit 8,751012,20.25751,85.84586,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1341,Zonal Dispensary Unit 9,751022,20.23755,85.83304,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1342,Zonal Dispensary Unit 9 Flat,751022,20.24252,85.79665,0,Others,Odisha,Khordha ,Bhubaneswar (M.Corp.) P.S.,
1346,Alarigarh PHC N,761100,19.43247,84.686571,0,Primary Health Centre,Odisha,Ganjam,SERAGAD ,
1347,TURUBUDI PHC N,761209,19.162256,84.406574,0,Primary Health Centre,Odisha,Ganjam,JARADA ,
1348,SARU,761101,19.44692,84.75898,0,Primary Health Centre,Odisha,Ganjam,HINJILI ,
1361,JAHADA,761107,19.67578,84.57415,0,Primary Health Centre,Odisha,Ganjam,DHARAKOTE ,
1362,Handibhanga,754209,20.451959,86.262315,0,Primary Health Centre,Odisha,Cuttack,Nemalo ,
1366,Tulasipur ZD,753008,0,0,0,Urban Health Centre,Odisha,Cuttack,\N,
1367,DAHA,761132,19.995568,84.346786,0,Primary Health Centre,Odisha,Ganjam,BHANJANAGAR ,
1368,Govt. Press Dispensary,753009,20.485689,85.920367,0,Urban Health Centre,Odisha,Cuttack,Cuttack (M.Corp.) P.S,
1369,High Court Dispensary,753001,20.453426,85.903286,0,Urban Health Centre,Odisha,Cuttack,Cuttack (M.Corp.) P.S,
1370,GOCHHA,761151,19.85689,84.32331,0,Primary Health Centre,Odisha,Ganjam,BADAGADA ,
1372,Sikarma,762021,19.74763,84.08887,0,Primary Health Centre,Odisha,Kandhamal,Daringbadi,
1373,Sunagaon,762107,20.06561,83.66937,0,Primary Health Centre,Odisha,Kandhamal,Tumudibandha ,
1374,Kurtamgarh,762109,20.05958,83.75858,0,Primary Health Centre,Odisha,Kandhamal,Tumudibandha ,
1375,Reamal,768109,21.35914,84.66295,0,Primary Health Centre,Odisha,Debagarh,Kundheigola P.S.,
1379,PALSAGORA,760020,20.72,83.8,0,Primary Health Centre,Odisha,Baudh,Manamunda ,
1380,TALAGAON,762013,20.48767,84.62484,0,Primary Health Centre,Odisha,Baudh,Puruna Katak ,
1381,Barikpur,756112,20.94244,86.31905,0,Primary Health Centre,Odisha,Bhadrak,Bhandari Pokhari P.S. ,
1382,Jharsuguda,768201,21.85168,84.01711,0,District Hospital,Odisha,Jharsuguda,\N,
1383,Biridihi PHC,752077,20.30448,85.10886,0,Primary Health Centre,Odisha,Nayagarh  ,Khandapada ,
1384,Brarajnagar,768216,21.82446,83.93085,0,Community Health Center,Odisha,Jharsuguda,\N,
1385,Rajpur,768216,21.88976,83.93427,0,Community Health Center,Odisha,Jharsuguda,\N,
1386,Loisingh,768216,21.91444,83.95853,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1387,Sripura,768202,21.77639,84.03991,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1388,SC BHAINSADANI,766107,20.3261653,82.5274542,0,Primary Health Centre,Odisha,Nuapada  ,Boden ,
1389,Taria PHC,752026,20.10417,85.37826,0,Primary Health Centre,Odisha,Nayagarh  ,Ranapur ,
1390,DHARAMBANDHA,766105,20.7527285,82.4375995,0,Primary Health Centre,Odisha,Nuapada  ,Nuapada,
1391,Talpatia,768211,21.93102,84.02073,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1392,Patrapali,768202,21.75586,83.95558,0,SubCentre,Odisha,Jharsuguda,\N,
1393,DHARAMBANDHA,766104,20.7527285,82.4375995,0,Primary Health Centre,Odisha,Nuapada  ,Nuapada,
1394,Kudopali,768216,21.79197,83.89942,0,SubCentre,Odisha,Jharsuguda,\N,
1395,Badmal,768202,21.81984,84.00776,0,SubCentre,Odisha,Jharsuguda,\N,
1396,Brarajnagar,768216,21.83224,83.91386,0,SubCentre,Odisha,Jharsuguda,\N,
1397,Chandanimal,768216,21.8995,83.90522,0,SubCentre,Odisha,Jharsuguda,\N,
1398,Dalki,768216,21.83912,84.05048,0,SubCentre,Odisha,Jharsuguda,\N,
1399,Durlaga,768211,21.91812,84.03747,0,SubCentre,Odisha,Jharsuguda,\N,
1400,CHARICHHAKA,762024,20.58,84.41,0,Primary Health Centre,Odisha,Baudh,Puruna Katak ,
1401,Gandaghora,768216,21.93552,83.91547,0,SubCentre,Odisha,Jharsuguda,\N,
1402,SAGADA,762015,20.69986,84.11906,0,Primary Health Centre,Odisha,Baudh,Baunsuni ,
1403,H Katapali,768202,21.88173,83.96351,0,SubCentre,Odisha,Jharsuguda,\N,
1404,Dewan Bazar Dispensary,753001,20.481419,85.813614,0,Urban Health Centre,Odisha,Cuttack,Cuttack (M.Corp.) P.S,
1405,Nuabazar ZD,753008,20.459585,85.922089,0,Urban Health Centre,Odisha,Cuttack,Cuttack (M.Corp.) P.S,
1406,Revenshaw Dispensary,753007,20.479047,85.83876,0,Urban Health Centre,Odisha,Cuttack,Cuttack (M.Corp.) P.S,
1407,Tulasipur Dispensary,753008,20.46245,85.86171,0,Urban Health Centre,Odisha,Cuttack,Cuttack (M.Corp.) P.S,
1408,ITI Dispansary,753011,20.495179,85.863906,0,Urban Health Centre,Odisha,Cuttack,Cuttack (M.Corp.) P.S,
1409,Kumuli PHC(N),764074,19.85348,82.107,0,Primary Health Centre,Odisha,Nabarangapur ,Raighar ,
1410,Hirma,768202,21.79951,83.98666,0,SubCentre,Odisha,Jharsuguda,\N,
1411,Jamkani,768216,21.88334,84.04737,0,SubCentre,Odisha,Jharsuguda,\N,
1412,Motigam PHC,764061,19.38563,82.19748,0,Primary Health Centre,Odisha,Nabarangapur ,Kosagumuda ,
1413,Katikela,768202,21.78107,84.08124,0,SubCentre,Odisha,Jharsuguda,\N,
1414,Loisingh,768216,21.90846,83.95942,0,SubCentre,Odisha,Jharsuguda,\N,
1415,Marakuta,768202,21.85292,83.97406,0,SubCentre,Odisha,Jharsuguda,\N,
1416,Rajpur,768216,21.88745,83.92646,0,SubCentre,Odisha,Jharsuguda,\N,
1417,Sripura,768202,21.7769,84.04027,0,SubCentre,Odisha,Jharsuguda,\N,
1418,Kirmira,768220,21.87597,84.1779,0,Community Health Center,Odisha,Jharsuguda,\N,
1419,Arda,768202,21.90925,84.10574,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1420,Bagdihi,768220,21.9169,84.15601,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1421,Kadobahal,768220,21.93679,84.14175,0,SubCentre,Odisha,Jharsuguda,\N,
1422,Arda,768202,21.91824,84.11029,0,SubCentre,Odisha,Jharsuguda,\N,
1423,Bagdihi,768220,21.92118,84.15431,0,SubCentre,Odisha,Jharsuguda,\N,
1424,Subarnapur,754202,0,0,0,Primary Health Centre,Odisha,Cuttack,Jagatpur  ,
1425,Bandhapali,768220,21.88804,84.1235,0,SubCentre,Odisha,Jharsuguda,\N,
1426,Bhimjore,768220,21.97949,84.15292,0,SubCentre,Odisha,Jharsuguda,\N,
1427,Chandrapur,768220,21.94806,84.09148,0,SubCentre,Odisha,Jharsuguda,\N,
1428,Kirmira,768220,21.87678,84.17971,0,SubCentre,Odisha,Jharsuguda,\N,
1429,Kolabira,768213,21.80494,84.16486,0,Community Health Center,Odisha,Jharsuguda,\N,
1430,Bangirisinga,754035,20.387094,85.455205,0,Primary Health Centre,Odisha,Cuttack,Badamba ,
1431,Pokharsal,768213,21.81399,84.25853,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1432,Bhadimal,768213,21.84474,84.14123,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1433,Belmunda,768213,21.77082,84.18866,0,SubCentre,Odisha,Jharsuguda,\N,
1434,Jhirlapali,768213,21.83349,84.23974,0,SubCentre,Odisha,Jharsuguda,\N,
1435,Kelendamal,768213,21.86299,84.12042,0,SubCentre,Odisha,Jharsuguda,\N,
1436,Kelendamal,768213,21.86299,84.12042,0,SubCentre,Odisha,Jharsuguda,\N,
1437,Kolabira,768213,21.80722,84.17268,0,SubCentre,Odisha,Jharsuguda,\N,
1438,Parmanpur,768213,21.80915,84.11308,0,SubCentre,Odisha,Jharsuguda,\N,
1439,Pokharsal,768213,21.81901,84.2526,0,SubCentre,Odisha,Jharsuguda,\N,
1440,Raghunathpali,768213,21.82768,84.15629,0,SubCentre,Odisha,Jharsuguda,\N,
1441,Sodamal,768213,21.78352,84.22726,0,SubCentre,Odisha,Jharsuguda,\N,
1442,Mundrajore,768213,21.88326,84.25841,0,Community Health Center,Odisha,Jharsuguda,\N,
1444,Gunthawada,764052,18.07,82.05,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1445,Chitrakonda,764052,18.11609,82.11609,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1446,Doraguda,764052,18.11,82.08,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1447,Kakarpada,764052,18.08,82.04,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1448,Spillway,764052,18.17,82.08,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1449,Nilakamberu,764051,18.2,82.02,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1450,Orkel,764051,18.3,81.78,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1451,MV 120,764051,18.2,82.05,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1452,Tunnel Camp,764051,18.3,81.92,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1453,JODAMBO,764052,18.23,82.27,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1454,Dangarapadara,764052,18.3,82.32,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1455,Panasput,764052,18.3,82.35,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1456,Totapalli,764052,18.36,82.12,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1457,Charvatta,767016,20.5644,83.62037,0,Others,Odisha,Sonapur  ,Tarbha ,
1459,MV 108,764051,18.38,81.77,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1460,MV 109,764051,18.2,81.75,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1462,Korukonda,764045,18.27,81.97,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1463,MV 34,764047,18.27,82.04,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1464,Paparmatla,764052,18.16,82.31,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1465,Tarlakota,764051,18.27,82.06,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1466,Badapadara,764052,18.08,82.17,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1467,MV 37,764051,18.28,82.04,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1468,Mutamba,764052,18.12,82.26,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1469,Potrel,764051,18.26,82.01,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1470,Janbai,764052,18.1,82.2,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1471,Sarukubandha,764052,18.07,82.23,0,SubCentre,Odisha,Malkangiri  ,Paparmetla ,
1472,Challanguda,764045,18.37,81.81,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1473,"CHC,K.GUMMA",764046,18.37251,82.18591,0,Community Health Center,Odisha,Malkangiri  ,Paparmetla ,
1474,Gandhipalli,764045,18.36,81.85,0,SubCentre,Odisha,Malkangiri  ,Orkel ,
1475,Mudulipada,764051,18.08,82.33,0,SubCentre,Odisha,Malkangiri  ,Mudulipada ,
1476,Laikera,768215,21.88495,84.21529,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1477,Sahaspur,768215,21.93881,84.29654,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1478,Pakelpada,768213,21.97713,84.33032,0,Primary Health Centre,Odisha,Jharsuguda,\N,
1479,Sahaspur,768215,21.94416,84.29764,0,SubCentre,Odisha,Jharsuguda,\N,
1480,Babuchipidihi,768216,21.98721,84.26864,0,SubCentre,Odisha,Jharsuguda,\N,
1481,Bhatlaida,768213,21.84939,84.22698,0,SubCentre,Odisha,Jharsuguda,\N,
